date,datatype,station,attributes,value
2022-03-20,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-03-20,TMAX,GHCND:USW00014732,",,W,2400",161
2022-03-20,TMIN,GHCND:USW00014732,",,W,2400",78
2022-03-21,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-21,TMAX,GHCND:USW00014732,",,W,2400",167
2022-03-21,TMIN,GHCND:USW00014732,",,W,2400",67
2022-03-22,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-22,TMAX,GHCND:USW00014732,",,W,2400",139
2022-03-22,TMIN,GHCND:USW00014732,",,W,2400",67
2022-03-23,PRCP,GHCND:USW00014732,",,W,2400",28
2022-03-23,TMAX,GHCND:USW00014732,",,W,2400",83
2022-03-23,TMIN,GHCND:USW00014732,",,W,2400",39
2022-03-24,PRCP,GHCND:USW00014732,",,W,2400",259
2022-03-24,TMAX,GHCND:USW00014732,",,W,2400",83
2022-03-24,TMIN,GHCND:USW00014732,",,W,2400",39
2022-03-25,PRCP,GHCND:USW00014732,",,W,2400",8
2022-03-25,TMAX,GHCND:USW00014732,",,W,2400",156
2022-03-25,TMIN,GHCND:USW00014732,",,W,2400",67
2022-03-26,PRCP,GHCND:USW00014732,",,W,2400",10
2022-03-26,TMAX,GHCND:USW00014732,",,W,2400",117
2022-03-26,TMIN,GHCND:USW00014732,",,W,2400",61
2022-03-27,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-03-27,TMAX,GHCND:USW00014732,",,W,2400",72
2022-03-27,TMIN,GHCND:USW00014732,",,W,2400",-10
2022-03-28,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-28,TMAX,GHCND:USW00014732,",,W,2400",0
2022-03-28,TMIN,GHCND:USW00014732,",,W,2400",-43
2022-03-29,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-29,TMAX,GHCND:USW00014732,",,W,2400",28
2022-03-29,TMIN,GHCND:USW00014732,",,W,2400",-38
2022-03-30,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-30,TMAX,GHCND:USW00014732,",,W,2400",83
2022-03-30,TMIN,GHCND:USW00014732,",,W,2400",-10
2022-03-31,PRCP,GHCND:USW00014732,",,W,2400",13
2022-03-31,TMAX,GHCND:USW00014732,",,W,2400",178
2022-03-31,TMIN,GHCND:USW00014732,",,W,2400",56
2022-04-01,PRCP,GHCND:USW00014732,",,W,2400",66
2022-04-01,TMAX,GHCND:USW00014732,",,W,2400",161
2022-04-01,TMIN,GHCND:USW00014732,",,W,2400",61
2022-04-02,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-02,TMAX,GHCND:USW00014732,",,W,2400",128
2022-04-02,TMIN,GHCND:USW00014732,",,W,2400",39
2022-04-03,PRCP,GHCND:USW00014732,",,W,2400",23
2022-04-03,TMAX,GHCND:USW00014732,",,W,2400",78
2022-04-03,TMIN,GHCND:USW00014732,",,W,2400",50
2022-04-04,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-04,TMAX,GHCND:USW00014732,",,W,2400",122
2022-04-04,TMIN,GHCND:USW00014732,",,W,2400",44
2022-04-05,PRCP,GHCND:USW00014732,",,W,2400",15
2022-04-05,TMAX,GHCND:USW00014732,",,W,2400",128
2022-04-05,TMIN,GHCND:USW00014732,",,W,2400",67
2022-04-06,PRCP,GHCND:USW00014732,",,W,2400",91
2022-04-06,TMAX,GHCND:USW00014732,",,W,2400",117
2022-04-06,TMIN,GHCND:USW00014732,",,W,2400",67
2022-04-07,PRCP,GHCND:USW00014732,",,W,2400",246
2022-04-07,TMAX,GHCND:USW00014732,",,W,2400",133
2022-04-07,TMIN,GHCND:USW00014732,",,W,2400",78
2022-04-08,PRCP,GHCND:USW00014732,",,W,2400",10
2022-04-08,TMAX,GHCND:USW00014732,",,W,2400",178
2022-04-08,TMIN,GHCND:USW00014732,",,W,2400",100
2022-04-09,PRCP,GHCND:USW00014732,",,W,2400",5
2022-04-09,TMAX,GHCND:USW00014732,",,W,2400",133
2022-04-09,TMIN,GHCND:USW00014732,",,W,2400",89
2022-04-10,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-04-10,TMAX,GHCND:USW00014732,",,W,2400",94
2022-04-10,TMIN,GHCND:USW00014732,",,W,2400",61
2022-04-11,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-11,TMAX,GHCND:USW00014732,",,W,2400",156
2022-04-11,TMIN,GHCND:USW00014732,",,W,2400",56
2022-04-12,PRCP,GHCND:USW00014732,",,W,2400",10
2022-04-12,TMAX,GHCND:USW00014732,",,W,2400",217
2022-04-12,TMIN,GHCND:USW00014732,",,W,2400",100
2022-04-13,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-13,TMAX,GHCND:USW00014732,",,W,2400",206
2022-04-13,TMIN,GHCND:USW00014732,",,W,2400",100
2022-04-14,PRCP,GHCND:USW00014732,",,W,2400",28
2022-04-14,TMAX,GHCND:USW00014732,",,W,2400",217
2022-04-14,TMIN,GHCND:USW00014732,",,W,2400",128
2022-04-15,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-15,TMAX,GHCND:USW00014732,",,W,2400",206
2022-04-15,TMIN,GHCND:USW00014732,",,W,2400",106
2022-04-16,PRCP,GHCND:USW00014732,",,W,2400",36
2022-04-16,TMAX,GHCND:USW00014732,",,W,2400",211
2022-04-16,TMIN,GHCND:USW00014732,",,W,2400",72
2022-04-17,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-17,TMAX,GHCND:USW00014732,",,W,2400",100
2022-04-17,TMIN,GHCND:USW00014732,",,W,2400",56
2022-04-18,PRCP,GHCND:USW00014732,",,W,2400",234
2022-04-18,TMAX,GHCND:USW00014732,",,W,2400",117
2022-04-18,TMIN,GHCND:USW00014732,",,W,2400",50
2022-04-19,PRCP,GHCND:USW00014732,",,W,2400",290
2022-04-19,TMAX,GHCND:USW00014732,",,W,2400",100
2022-04-19,TMIN,GHCND:USW00014732,",,W,2400",44
2022-04-20,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-20,TMAX,GHCND:USW00014732,",,W,2400",156
2022-04-20,TMIN,GHCND:USW00014732,",,W,2400",61
2022-04-21,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-21,TMAX,GHCND:USW00014732,",,W,2400",150
2022-04-21,TMIN,GHCND:USW00014732,",,W,2400",72
2022-04-22,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-22,TMAX,GHCND:USW00014732,",,W,2400",200
2022-04-22,TMIN,GHCND:USW00014732,",,W,2400",111
2022-04-23,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-23,TMAX,GHCND:USW00014732,",,W,2400",161
2022-04-23,TMIN,GHCND:USW00014732,",,W,2400",100
2022-04-24,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-24,TMAX,GHCND:USW00014732,",,W,2400",156
2022-04-24,TMIN,GHCND:USW00014732,",,W,2400",89
2022-04-25,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-25,TMAX,GHCND:USW00014732,",,W,2400",144
2022-04-25,TMIN,GHCND:USW00014732,",,W,2400",78
2022-04-26,PRCP,GHCND:USW00014732,",,W,2400",13
2022-04-26,TMAX,GHCND:USW00014732,",,W,2400",156
2022-04-26,TMIN,GHCND:USW00014732,",,W,2400",100
2022-04-27,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-27,TMAX,GHCND:USW00014732,",,W,2400",150
2022-04-27,TMIN,GHCND:USW00014732,",,W,2400",56
2022-04-28,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-28,TMAX,GHCND:USW00014732,",,W,2400",133
2022-04-28,TMIN,GHCND:USW00014732,",,W,2400",50
2022-04-29,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-29,TMAX,GHCND:USW00014732,",,W,2400",167
2022-04-29,TMIN,GHCND:USW00014732,",,W,2400",56
2022-04-30,PRCP,GHCND:USW00014732,",,W,2400",0
2022-04-30,TMAX,GHCND:USW00014732,",,W,2400",194
2022-04-30,TMIN,GHCND:USW00014732,",,W,2400",83
2022-05-01,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-05-01,TMAX,GHCND:USW00014732,",,W,2400",194
2022-05-01,TMIN,GHCND:USW00014732,",,W,2400",89
2022-05-02,PRCP,GHCND:USW00014732,",,W,2400",89
2022-05-02,TMAX,GHCND:USW00014732,",,W,2400",139
2022-05-02,TMIN,GHCND:USW00014732,",,W,2400",100
2022-05-03,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-05-03,TMAX,GHCND:USW00014732,",,W,2400",161
2022-05-03,TMIN,GHCND:USW00014732,",,W,2400",100
2022-05-04,PRCP,GHCND:USW00014732,",,W,2400",30
2022-05-04,TMAX,GHCND:USW00014732,",,W,2400",194
2022-05-04,TMIN,GHCND:USW00014732,",,W,2400",100
2022-05-05,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-05,TMAX,GHCND:USW00014732,",,W,2400",217
2022-05-05,TMIN,GHCND:USW00014732,",,W,2400",133
2022-05-06,PRCP,GHCND:USW00014732,",,W,2400",188
2022-05-06,TMAX,GHCND:USW00014732,",,W,2400",167
2022-05-06,TMIN,GHCND:USW00014732,",,W,2400",100
2022-05-07,PRCP,GHCND:USW00014732,",,W,2400",269
2022-05-07,TMAX,GHCND:USW00014732,",,W,2400",111
2022-05-07,TMIN,GHCND:USW00014732,",,W,2400",78
2022-05-08,PRCP,GHCND:USW00014732,",,W,2400",5
2022-05-08,TMAX,GHCND:USW00014732,",,W,2400",150
2022-05-08,TMIN,GHCND:USW00014732,",,W,2400",78
2022-05-09,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-09,TMAX,GHCND:USW00014732,",,W,2400",206
2022-05-09,TMIN,GHCND:USW00014732,",,W,2400",83
2022-05-10,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-10,TMAX,GHCND:USW00014732,",,W,2400",217
2022-05-10,TMIN,GHCND:USW00014732,",,W,2400",117
2022-05-11,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-11,TMAX,GHCND:USW00014732,",,W,2400",244
2022-05-11,TMIN,GHCND:USW00014732,",,W,2400",117
2022-05-12,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-12,TMAX,GHCND:USW00014732,",,W,2400",222
2022-05-12,TMIN,GHCND:USW00014732,",,W,2400",139
2022-05-13,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-05-13,TMAX,GHCND:USW00014732,",,W,2400",189
2022-05-13,TMIN,GHCND:USW00014732,",,W,2400",133
2022-05-14,PRCP,GHCND:USW00014732,",,W,2400",71
2022-05-14,TMAX,GHCND:USW00014732,",,W,2400",233
2022-05-14,TMIN,GHCND:USW00014732,",,W,2400",144
2022-05-15,PRCP,GHCND:USW00014732,",,W,2400",5
2022-05-15,TMAX,GHCND:USW00014732,",,W,2400",256
2022-05-15,TMIN,GHCND:USW00014732,",,W,2400",150
2022-05-16,PRCP,GHCND:USW00014732,",,W,2400",119
2022-05-16,TMAX,GHCND:USW00014732,",,W,2400",239
2022-05-16,TMIN,GHCND:USW00014732,",,W,2400",167
2022-05-17,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-17,TMAX,GHCND:USW00014732,",,W,2400",256
2022-05-17,TMIN,GHCND:USW00014732,",,W,2400",150
2022-05-18,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-05-18,TMAX,GHCND:USW00014732,",,W,2400",228
